iter	Logloss
0	0.6926371398
1	0.6920040828
2	0.6914052401
3	0.69066822
4	0.690007586
5	0.6894024741
6	0.6890076493
7	0.688574779
8	0.6878604349
9	0.6871333937
10	0.6867645471
11	0.686414719
12	0.6859138028
13	0.6852073215
14	0.6848337559
15	0.6842116821
16	0.6838268612
17	0.6833819478
18	0.682758905
19	0.6823478569
20	0.6819840487
21	0.6812230908
22	0.6806491409
23	0.6799683188
24	0.6796163659
25	0.6789774605
26	0.6786820822
27	0.6780255954
28	0.6776715375
29	0.677280031
30	0.6769194637
31	0.6765376843
32	0.6760391262
33	0.6754979904
34	0.6748949867
35	0.6743366725
36	0.6739420517
37	0.6734302087
38	0.6727445899
39	0.6722401009
40	0.6715895183
41	0.6711436284
42	0.6706990349
43	0.670090229
44	0.6696400848
45	0.6690143257
46	0.6684202771
47	0.6677712041
48	0.6674192877
49	0.6670710084
50	0.6665046409
51	0.6662360125
52	0.6657170117
53	0.6651894483
54	0.664715142
55	0.6642258485
56	0.6639604264
57	0.6635263477
58	0.6631343596
59	0.6626272545
60	0.6622943207
61	0.6618519282
62	0.6612462066
63	0.6609690897
64	0.6605064006
65	0.6600520894
66	0.6596620065
67	0.6591207761
68	0.6588569431
69	0.6584617067
70	0.6580451481
71	0.6576404473
72	0.6571914446
73	0.6567869286
74	0.6563346111
75	0.6556172963
76	0.6552480182
77	0.6547521283
78	0.6544582588
79	0.6541767658
80	0.6538381702
81	0.6534003575
82	0.6530775737
83	0.6526063981
84	0.6520039346
85	0.6515630958
86	0.6511700336
87	0.6508084149
88	0.6503587437
89	0.6498232257
90	0.6492645354
91	0.6487834549
92	0.6481723139
93	0.6477693133
94	0.6473609169
95	0.6468001925
96	0.6463787574
97	0.6460473916
98	0.6457895229
99	0.645468366
100	0.6450122616
101	0.6444002785
102	0.643914692
103	0.6435840408
104	0.6431557051
105	0.6428002102
106	0.6424775388
107	0.6420285075
108	0.6417279375
109	0.6414155886
110	0.6411089675
111	0.6405866412
112	0.6401932403
113	0.6396604593
114	0.6392908435
115	0.6390251705
116	0.638706199
117	0.6380642334
118	0.6375350106
119	0.6370802576
120	0.6363273437
121	0.6358628171
122	0.6354918711
123	0.6351088502
124	0.6346858794
125	0.6343478341
126	0.6339841279
127	0.633639751
128	0.6333682125
129	0.6329893527
130	0.6324415537
131	0.6320821394
132	0.6315521888
133	0.6311543328
134	0.6306862216
135	0.6303239261
136	0.6299088908
137	0.6296622122
138	0.6292208441
139	0.6290204996
140	0.6285526176
141	0.6281621485
142	0.6276456734
143	0.6273179721
144	0.6267718371
145	0.6261894778
146	0.6257574163
147	0.6254758112
148	0.6248912463
149	0.624681901
150	0.6243027253
151	0.6239035348
152	0.6236916035
153	0.6232638653
154	0.6229149831
155	0.6224886295
156	0.622324555
157	0.6220596545
158	0.6216246907
159	0.6212860944
160	0.6208813017
161	0.6203947337
162	0.6199715782
163	0.6196896413
164	0.6194419103
165	0.6190049428
166	0.6186951662
167	0.6182968372
168	0.618012865
169	0.6176321029
170	0.6169615899
171	0.6166269802
172	0.6161721108
173	0.6158705886
174	0.6154109929
175	0.6151761001
176	0.6148218041
177	0.6143569835
178	0.6141022597
179	0.6137943207
180	0.6136509583
181	0.6129756197
182	0.6126186907
183	0.6123218754
184	0.6119579637
185	0.6113116079
186	0.6109368331
187	0.6106627192
188	0.610204094
189	0.609759792
190	0.6095288821
191	0.6093902155
