iter	Passed	Remaining
0	16	16399
1	31	15586
2	44	14834
3	57	14347
4	70	14079
5	84	13949
6	99	14101
7	118	14754
8	137	15193
9	152	15136
10	168	15192
11	185	15240
12	202	15361
13	217	15336
14	232	15285
15	249	15317
16	263	15209
17	277	15124
18	290	15023
19	305	14964
20	320	14930
21	335	14900
22	348	14800
23	361	14689
24	374	14607
25	387	14512
26	400	14429
27	413	14345
28	437	14663
29	450	14579
30	463	14492
31	476	14399
32	489	14333
33	501	14262
34	514	14196
35	528	14146
36	541	14081
37	553	14006
38	565	13933
39	578	13876
40	591	13842
41	604	13783
42	616	13731
43	629	13680
44	642	13635
45	655	13591
46	667	13540
47	679	13475
48	692	13433
49	704	13390
50	717	13343
51	729	13293
52	741	13256
53	754	13215
54	767	13182
55	779	13148
56	793	13124
57	805	13083
58	817	13039
59	829	13002
60	843	12979
61	855	12936
62	868	12921
63	881	12886
64	894	12873
65	908	12851
66	919	12804
67	931	12773
68	944	12747
69	957	12725
70	971	12709
71	984	12682
72	996	12657
73	1009	12629
74	1021	12599
75	1035	12591
76	1049	12584
77	1061	12550
78	1076	12547
79	1088	12522
80	1102	12505
81	1115	12485
82	1128	12466
83	1140	12437
84	1152	12411
85	1165	12389
86	1179	12376
87	1192	12355
88	1204	12332
89	1216	12299
90	1229	12283
91	1242	12266
92	1254	12239
93	1269	12234
94	1284	12235
95	1301	12255
96	1317	12268
97	1333	12271
98	1348	12274
99	1363	12275
100	1377	12262
101	1392	12261
102	1407	12261
103	1422	12258
104	1436	12240
105	1450	12235
106	1465	12228
107	1480	12231
108	1496	12229
109	1511	12229
110	1527	12233
111	1541	12225
112	1557	12223
113	1573	12225
114	1587	12217
115	1602	12212
116	1618	12212
117	1633	12209
118	1648	12206
119	1663	12197
120	1678	12195
121	1693	12188
122	1709	12189
123	1725	12186
124	1740	12186
125	1754	12171
126	1770	12169
127	1785	12165
128	1801	12163
129	1817	12162
130	1833	12163
131	1849	12162
132	1865	12159
133	1881	12158
134	1896	12153
135	1911	12146
136	1926	12137
137	1940	12121
138	1955	12109
139	1969	12095
140	1982	12079
141	1995	12059
142	2009	12040
143	2022	12022
144	2036	12006
145	2049	11987
146	2062	11967
147	2076	11953
148	2090	11940
149	2105	11930
150	2121	11929
151	2136	11921
152	2151	11912
153	2167	11904
154	2183	11903
155	2199	11899
156	2215	11893
157	2230	11887
158	2246	11881
159	2261	11872
160	2276	11865
161	2293	11865
162	2309	11860
163	2325	11854
164	2342	11854
165	2359	11852
166	2377	11858
167	2396	11866
168	2412	11861
169	2428	11855
170	2445	11857
171	2465	11870
172	2482	11866
173	2498	11859
174	2513	11851
175	2529	11843
176	2544	11830
177	2560	11824
178	2574	11806
179	2590	11800
180	2607	11798
181	2622	11786
182	2636	11769
183	2650	11756
184	2665	11740
185	2680	11730
186	2694	11714
187	2710	11706
188	2724	11692
189	2739	11677
190	2753	11664
191	2769	11656
192	2786	11651
193	2804	11651
194	2821	11647
195	2837	11640
196	2856	11644
197	2874	11642
198	2890	11635
199	2908	11633
200	2924	11623
201	2939	11612
202	2957	11609
203	2974	11605
204	2989	11592
205	3004	11579
206	3020	11570
207	3037	11564
208	3054	11560
209	3072	11557
210	3088	11549
211	3105	11541
212	3120	11530
213	3136	11519
214	3151	11508
215	3166	11491
216	3183	11486
217	3199	11476
218	3215	11465
219	3229	11448
220	3244	11435
221	3260	11426
222	3279	11425
223	3295	11417
224	3310	11403
225	3326	11391
226	3342	11382
227	3357	11369
228	3373	11356
229	3388	11345
230	3405	11338
231	3421	11325
232	3437	11316
233	3453	11305
234	3468	11292
235	3484	11279
236	3498	11262
237	3514	11250
238	3531	11243
239	3545	11227
240	3561	11215
241	3577	11204
242	3594	11196
243	3611	11188
244	3632	11192
245	3647	11179
246	3661	11161
247	3675	11144
248	3691	11133
249	3707	11123
250	3724	11114
251	3739	11101
252	3754	11084
253	3769	11069
254	3784	11055
255	3800	11045
256	3815	11031
257	3829	11013
258	3843	10996
259	3857	10978
260	3871	10963
261	3886	10948
262	3902	10936
263	3916	10919
264	3930	10901
265	3945	10886
266	3958	10867
267	3973	10852
268	3987	10835
269	4002	10821
270	4016	10804
271	4028	10783
272	4061	10814
273	4077	10803
274	4093	10791
275	4107	10773
276	4121	10757
277	4136	10741
278	4151	10728
279	4166	10713
280	4181	10698
281	4196	10684
282	4212	10672
283	4228	10660
284	4244	10648
285	4260	10636
286	4277	10626
287	4293	10614
288	4312	10609
289	4330	10602
290	4348	10593
291	4364	10582
292	4378	10565
293	4393	10549
294	4408	10536
295	4425	10526
296	4443	10518
297	4458	10503
298	4473	10488
299	4486	10469
300	4501	10454
301	4516	10438
302	4530	10421
303	4544	10404
304	4556	10383
305	4569	10364
306	4583	10346
307	4598	10331
308	4612	10315
309	4626	10297
310	4639	10277
311	4652	10258
312	4666	10241
313	4681	10227
314	4697	10214
315	4711	10198
316	4725	10181
317	4739	10165
318	4753	10148
319	4771	10139
320	4789	10131
321	4806	10119
322	4821	10106
323	4837	10093
324	4852	10078
325	4866	10061
326	4882	10048
327	4900	10039
328	4916	10027
329	4931	10012
330	4943	9992
331	4957	9974
332	4971	9957
333	4987	9945
334	5003	9932
335	5017	9915
336	5030	9897
337	5044	9879
338	5060	9866
339	5077	9857
340	5092	9841
341	5106	9825
342	5120	9807
343	5133	9789
344	5147	9773
345	5162	9758
346	5176	9740
347	5189	9722
348	5202	9704
349	5215	9686
350	5229	9669
351	5243	9653
352	5259	9639
353	5272	9621
354	5285	9603
355	5298	9585
356	5311	9567
357	5326	9551
358	5341	9536
359	5353	9517
360	5366	9498
361	5379	9481
362	5392	9463
363	5408	9449
364	5421	9431
365	5436	9417
366	5450	9400
367	5466	9387
368	5483	9377
369	5502	9369
370	5517	9354
