iter	RMSE
402	0.3956879357
403	0.3956811808
404	0.3956774138
405	0.395669363
406	0.3956638818
407	0.3956596045
408	0.3956547405
409	0.3956519265
410	0.3956469138
411	0.395643688
412	0.3956357716
413	0.3956296465
414	0.3956223194
415	0.3956210052
416	0.3956159051
417	0.3956099771
418	0.3956067889
419	0.3956044328
420	0.3955989473
421	0.3955947976
422	0.3955905258
423	0.3955857546
424	0.3955790071
425	0.3955763476
426	0.3955724662
427	0.3955707201
428	0.3955646545
429	0.3955630471
430	0.39555257
431	0.3955444406
432	0.3955347168
433	0.3955314149
434	0.3955258305
435	0.3955238476
436	0.3955219809
437	0.3955143169
438	0.395510034
439	0.3955041039
440	0.3954950159
441	0.3954912696
442	0.3954863917
443	0.3954821646
444	0.3954780204
445	0.3954749751
446	0.3954680784
447	0.3954636993
448	0.3954554799
449	0.395449633
450	0.3954396713
451	0.3954363774
452	0.3954295682
453	0.3954264518
454	0.3954197005
455	0.3954120315
456	0.3954062073
457	0.3954014544
458	0.3953952228
459	0.3953874287
460	0.3953773428
461	0.395372272
462	0.3953679893
463	0.3953591912
464	0.3953540146
465	0.395347439
466	0.3953435931
467	0.3953394246
468	0.3953333507
469	0.3953293788
470	0.3953250402
471	0.3953231226
472	0.3953203099
473	0.3953113164
474	0.3953030518
475	0.3952991406
476	0.3952952881
477	0.3952898058
478	0.3952862061
479	0.3952764915
480	0.3952710939
481	0.3952647419
482	0.3952597962
483	0.3952558501
484	0.3952530235
485	0.3952499302
486	0.3952479367
487	0.3952446582
488	0.3952425771
489	0.3952382002
490	0.3952353056
491	0.3952305212
492	0.3952210853
493	0.3952124599
494	0.3952074673
495	0.3952018179
496	0.3951974107
497	0.3951960728
498	0.3951944374
499	0.3951882751
500	0.3951784086
501	0.3951739302
502	0.3951700328
503	0.3951653399
504	0.3951584332
505	0.3951524563
506	0.3951454575
507	0.3951412585
508	0.3951358503
509	0.3951328103
510	0.3951285855
511	0.3951244926
512	0.3951190946
513	0.3951116705
514	0.3951079831
515	0.3951035169
516	0.3950988269
517	0.395089683
518	0.3950794103
519	0.3950724131
520	0.3950680359
521	0.395062844
522	0.3950584113
523	0.395053146
524	0.3950472716
525	0.39504303
526	0.3950363558
527	0.3950322909
528	0.3950280398
529	0.3950228818
530	0.3950162469
531	0.3950093156
532	0.3950014965
533	0.3949991886
534	0.3949973362
535	0.394993688
536	0.3949877652
537	0.3949787693
538	0.3949736685
539	0.3949723335
540	0.3949677914
541	0.3949649741
542	0.3949616754
543	0.3949561485
544	0.3949509209
545	0.3949468336
546	0.3949458195
547	0.3949403
548	0.3949350494
549	0.3949299817
550	0.3949231419
551	0.3949138288
552	0.3949085549
553	0.3949032384
554	0.3948932251
555	0.3948841741
556	0.3948781804
557	0.3948748047
558	0.3948684776
559	0.3948608361
560	0.3948553863
561	0.3948518542
562	0.3948490845
563	0.3948453391
564	0.3948358035
565	0.3948269264
566	0.3948207728
567	0.3948152118
568	0.3948102469
569	0.3948015638
570	0.3948006815
571	0.3947967405
572	0.3947911088
573	0.3947875955
574	0.3947809715
575	0.3947770181
576	0.3947732852
577	0.3947656488
578	0.3947650746
579	0.3947628583
580	0.3947546479
581	0.3947509661
582	0.3947432089
583	0.3947392177
584	0.3947325154
585	0.3947292636
586	0.3947202943
587	0.3947177795
588	0.3947158076
589	0.394708086
590	0.3947000365
591	0.3946974849
592	0.3946930495
593	0.3946895287
594	0.3946813076
595	0.3946720997
596	0.3946646703
597	0.3946629085
598	0.3946595979
599	0.3946535416
600	0.3946485458
601	0.3946462852
602	0.3946391178
603	0.3946335234
604	0.3946260345
605	0.3946236169
606	0.3946215352
607	0.3946191573
608	0.3946156091
609	0.3946086933
610	0.3945979403
611	0.3945927598
612	0.3945855588
613	0.3945822065
614	0.3945736689
615	0.3945665559
616	0.3945648226
617	0.3945621233
618	0.3945594457
619	0.3945542777
620	0.3945472973
621	0.3945363373
622	0.3945303512
623	0.3945298152
624	0.3945258998
625	0.3945160555
626	0.3945128861
627	0.3945064153
628	0.3944986233
629	0.3944895758
630	0.3944858272
631	0.3944789241
632	0.3944706126
633	0.3944659116
634	0.3944622107
635	0.3944558221
636	0.3944489961
637	0.3944429329
638	0.3944330014
639	0.3944215038
640	0.3944113465
641	0.3944073362
642	0.3944019555
643	0.394395758
644	0.3943897735
645	0.3943874062
646	0.3943769124
647	0.394365679
648	0.3943620907
649	0.3943535596
650	0.3943485876
651	0.3943419349
652	0.3943368997
653	0.3943325645
654	0.3943287034
655	0.3943194411
656	0.394316553
657	0.3943127208
658	0.3943006206
659	0.3942932829
660	0.3942839731
661	0.3942737559
662	0.3942664564
663	0.3942624921
664	0.3942579091
665	0.3942520581
666	0.3942425024
667	0.3942358708
668	0.3942326677
669	0.3942264888
670	0.3942237349
671	0.3942148809
672	0.3942085104
673	0.394199947
674	0.3941903411
675	0.3941885573
676	0.3941878574
677	0.3941865218
678	0.3941755204
679	0.3941742044
680	0.3941693913
681	0.3941632734
682	0.3941613596
683	0.3941490369
684	0.3941440634
685	0.3941378484
686	0.3941299172
687	0.3941210272
688	0.3941110168
689	0.3941002871
690	0.3940923091
691	0.3940815596
692	0.3940747014
693	0.394069377
694	0.3940595783
695	0.3940532636
696	0.3940484153
697	0.3940448633
698	0.3940391178
699	0.3940368833
700	0.3940291801
701	0.3940247006
702	0.394017267
703	0.3940105078
704	0.3940038819
705	0.3939966532
706	0.3939944879
707	0.3939886566
708	0.3939798135
709	0.3939680968
710	0.3939574523
711	0.3939531592
712	0.3939472755
713	0.3939422996
714	0.3939376827
715	0.393933877
716	0.3939267174
717	0.3939198675
718	0.3939115903
719	0.3939087492
720	0.3939079279
721	0.3939042809
722	0.3938959159
723	0.393889779
724	0.3938852171
725	0.3938774239
726	0.3938722938
727	0.393862603
728	0.3938605822
729	0.3938483261
730	0.3938420216
731	0.3938361099
732	0.3938337941
733	0.3938305348
734	0.3938283273
735	0.3938216114
736	0.3938112678
737	0.3938004959
738	0.3937911532
739	0.3937864711
740	0.3937809716
741	0.3937724966
742	0.3937640302
743	0.3937613988
744	0.3937512274
745	0.3937375315
746	0.3937335832
747	0.3937311148
748	0.393724834
749	0.3937140634
750	0.393705578
751	0.3936963495
752	0.3936884123
753	0.3936832173
754	0.3936760216
755	0.3936717229
756	0.393667484
757	0.3936615718
758	0.3936563135
759	0.3936531414
760	0.3936416844
761	0.3936339313
762	0.3936259547
763	0.3936198836
764	0.3936155283
765	0.393612257
766	0.3936073153
767	0.3936022336
768	0.3935995649
769	0.3935913095
770	0.393586494
771	0.3935771555
772	0.3935669211
773	0.3935611809
774	0.3935515828
775	0.3935454401
776	0.3935341575
777	0.3935271559
778	0.3935204039
779	0.393514517
780	0.3935035609
781	0.3934952322
782	0.3934876504
783	0.3934815814
784	0.3934733199
785	0.3934662797
786	0.3934619746
787	0.3934530171
788	0.3934437157
789	0.3934372599
790	0.3934322709
791	0.3934214898
792	0.3934185068
793	0.3934118234
794	0.3934051974
795	0.3934038895
796	0.3933951413
797	0.3933901724
798	0.3933851207
799	0.3933799411
800	0.3933722771
801	0.3933652544
802	0.3933588955
803	0.3933546161
804	0.3933468522
805	0.393340908
806	0.3933349011
807	0.3933317597
808	0.3933259896
809	0.3933204148
810	0.393318047
811	0.3933112735
812	0.3933091926
813	0.3933000962
814	0.3932909459
815	0.3932865872
816	0.3932787988
817	0.3932756252
818	0.3932704769
819	0.3932655258
820	0.3932628578
821	0.3932593525
822	0.3932545506
823	0.3932446401
824	0.3932401292
825	0.3932352108
826	0.3932310482
827	0.3932272335
828	0.3932214736
829	0.3932129672
830	0.3932013662
831	0.3931963164
832	0.3931862282
833	0.3931805758
834	0.3931755406
835	0.3931723686
836	0.393166434
837	0.3931626913
838	0.393153238
839	0.3931471723
840	0.3931378283
841	0.3931328413
842	0.3931282376
843	0.3931236583
844	0.3931199043
845	0.3931103824
846	0.3930986195
847	0.3930939958
848	0.3930850736
849	0.393081299
850	0.393075241
851	0.3930703141
852	0.3930628671
853	0.3930570301
854	0.3930532145
855	0.3930431453
856	0.3930327353
857	0.3930240783
858	0.3930136685
859	0.3930071473
860	0.3930013037
861	0.3929959675
862	0.3929865005
863	0.3929845728
864	0.3929779606
865	0.3929749524
866	0.3929650892
867	0.3929635784
868	0.3929563144
869	0.3929492429
870	0.3929380186
871	0.3929310424
872	0.3929281371
873	0.3929190244
874	0.3929111263
875	0.3929093862
876	0.3929037872
877	0.392901568
878	0.3928932678
879	0.3928862881
880	0.3928815486
881	0.3928808262
882	0.3928800363
883	0.392873103
884	0.3928650232
885	0.3928560004
886	0.3928503826
887	0.3928444129
888	0.3928355254
889	0.3928269567
890	0.3928185239
891	0.3928146997
892	0.392809593
893	0.3927989402
894	0.3927951162
895	0.3927864712
896	0.3927819383
897	0.3927757561
898	0.3927706593
899	0.3927589676
900	0.3927475563
901	0.3927412622
902	0.392739202
903	0.3927312162
904	0.392724039
905	0.3927187361
906	0.3927113613
907	0.3927069815
908	0.3926961986
909	0.3926865908
910	0.392682764
911	0.3926749994
912	0.3926732077
913	0.3926687268
914	0.3926596821
915	0.3926556516
916	0.3926522042
917	0.3926472721
918	0.3926377591
919	0.3926331926
920	0.3926252283
921	0.392621408
922	0.3926107046
923	0.3926069153
924	0.3926041414
925	0.3925979118
926	0.3925879944
927	0.3925778437
928	0.3925775083
929	0.3925686849
930	0.3925579922
931	0.392552491
932	0.3925486134
933	0.392543074
934	0.3925362774
935	0.3925345725
936	0.3925231393
937	0.3925212202
938	0.3925177179
939	0.3925105116
940	0.3924997874
941	0.3924947492
942	0.3924870645
943	0.3924796513
944	0.3924702445
945	0.3924604837
946	0.3924567037
947	0.3924522308
948	0.392445387
949	0.3924425717
950	0.3924331568
951	0.392429253
952	0.3924257811
953	0.3924174612
954	0.3924107181
955	0.392406207
956	0.3924015259
957	0.3923942785
958	0.3923932449
959	0.3923922463
960	0.3923855024
961	0.392374295
962	0.3923616217
963	0.3923537455
964	0.3923528918
965	0.3923419614
966	0.3923401248
967	0.3923336584
968	0.3923304011
969	0.3923213197
970	0.3923180342
971	0.3923144487
972	0.3923090134
973	0.3923004645
974	0.3922930687
975	0.3922852683
976	0.3922776981
977	0.392271463
978	0.3922655342
979	0.3922569436
980	0.3922512878
981	0.3922407438
982	0.3922357444
983	0.3922321951
984	0.3922229133
985	0.3922185158
986	0.3922128714
987	0.3922093077
988	0.3922006178
989	0.3922002379
990	0.3921995499
991	0.3921900676
992	0.3921857566
993	0.3921801837
994	0.3921739861
995	0.3921718795
996	0.3921683999
997	0.3921577114
998	0.3921525969
999	0.3921475004
